Company_Name,Founded,Location,Sector,What_it_does,Founders,Investor,Amount,Stage,Funding_Year,Main_Sector,Stages,Years of Existence
EzeRx,2018,Kolkata,Medtech,Developer and manufacturer of medical devices,"Amit mandahar, Chaitali roy", Krishna Chakravarty,200000.0,Seed,2020,Software & Technology,Validation,2.0
VitalTech,2018,"Plano, Texas, United States",HeathTech,"VitalTech is a develop technologies that empower patients to better care for their safety,",Anjan Panneer Selvam,Tech Mahindra,3000000.0,Seed,2020,,Validation,2.0
Genius Teacher,2016,Mumbai,Edtech,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students","Advitiya Sharma, Gaurav Lahoti", VKG Ventures LLP.,2000000.0,,2020,,Unknown,4.0
Tring,2019,Mumbai,Social Media,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.","Akshay Saini, Rahul Saini, Pranav Chabhadia", Hemesh Singh,3000000.0,,2020,Media and Entertainment,Unknown,1.0
Rare Planet,2015,Kolkata,Retail startup,Rare Planet sells handicrafts made by local artisans.,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,400000.0,Pre-series A,2020,Commerce & Retail,Validation,5.0
GoodGamer,2020,Bangalore,Gaming,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,Charles Creighton, Base Partners,2500000.0,Seed,2020,,Validation,0.0
Tiliter,2017,Sydney,Retail,Software that uses computer vision to recognise products without barcodes,"Chris Sampson, Marcel Herz, Martin Karafilis", Investec,7500000.0,,2020,Commerce & Retail,Unknown,3.0
Slintel,2016,"San Francisco Bay Area, Silicon Valley, West Coast",Sles and marketing,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.","Deepak Anchala, Rahul Bhattacharya, Ranjana TN", Stellaris Venture Partners,4200000.0,,2020,,Unknown,4.0
SoOLEGAL,2015,New Delhi,LegalTech,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",Manish Kaul, Artesian,4000000.0,,2020,Business Services,Unknown,5.0
HobSpace,2019,Mumbai,Edtech,India's Activity Hub for Kids,"Priya Goel Sheth, Harsh Jain",Artha Venture,200000.0,Seed,2020,,Validation,1.0
Supplynote,2015,Noida,SaaS startup,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash", SOSV,500000.0,Seed,2020,,Validation,5.0
ShopUp,2017,Bangaldesh,E-commerce,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.","Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar", Lonsdale Capital,22000000.0,Series A,2020,Commerce & Retail,Early Traction,3.0
Harmonizer India,2019,Bangalore,Tech Startup,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",M R Srinivas,Kapil Dev,3000000.0,,2020,,Unknown,1.0
Dukaan,2020,Mumbai,Tech Startup,Developer of an android application designed for businesses to sell online.,"Subhash Choudhary, Suumit Shah", Matrix Partners.,6000000.0,Seed,2020,,Validation,0.0
Satyukt,2018,Bangalore,Agri tech,An agritech company that provides business to business (B2B) agricultural data,"Sat Tomer, Yukti Gill", Social Alpha (India),500000.0,Seed,2020,Agriculture,Validation,2.0
RACEnergy,2018,Hyderabad,Automobiles,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,"Arun Sreyas, Gautham Maheswaran", Huddle (Incubator),3000000.0,,2020,Transport,Unknown,2.0
TREAD,2020,Bangalore,Fitness startup,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,Dinesh Godara, Gaurav Munjal,1100000.0,Pre-seed,2020,,Ideation,0.0
Anveshan,2019,Bangalore,FoodTech,Provide quality and healthy food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,100000.0,Pre-seed,2020,Food & Beverage,Ideation,1.0
TeaMonk,2016,Bangalore,Food & Bevarages,India's Finest Specialty Tea company.,"Amit Dutta, Ashok Mittal", Roots Ventures,900000.0,Pre-series A,2020,Food & Beverage,Validation,4.0
Fleetx,2017,Gurugram,Tech Startup,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.","Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra", Rohan Ranavat,3000000.0,Pre-series B,2020,,Early Traction,3.0
ReNEWate,2018,Pune,Real Estate,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",Supratik Ghatak,Real Estate Accelerator Program,3000000.0,Pre-seed,2020,Real Estate and Property,Ideation,2.0
Tango Eye,2018,Chennai,SaaS startup,Retail Video Analytics SaaS product,Surender Gounder, Lenskart,3000000.0,Seed,2020,,Validation,2.0
Rare Planet,2015,Kolkata,Reatil startup,Rare Planet sells handicrafts made by local artisans.,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,3000000.0,Pre-series A,2020,Commerce & Retail,Validation,5.0
Arrival,2015,"London, England, United Kingdom",EV startup,Arrival is a technology company that specializes in developing electric vehicles.,Denis Sverdlov, Hyundai Motor Company,118000000.0,,2020,,Unknown,5.0
Phononic Vibes,2018,"Milano, Lombardia, Italy",Deeptech,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.","Andrea Boeri, Braghin Francesco, Giovanni Capellari, Luca D'Alessandro, Stefano Caverni", Aerospace Venture Fund (MDAVF),2300000.0,,2020,,Unknown,2.0
MikeLegal,2017,Gurugram,LegalTech,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,"Tushar Bhargava, Anshul Gupta", Artesian,3000000.0,Seed,2020,Business Services,Validation,3.0
Clair,2019,"New York, United States",FinTech,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,"Alex Kostecki, Erich Nussbaumer, Nico Simko", Walkabout Ventures,4500000.0,Seed,2020,,Validation,1.0
Miko,2015,Mumbai,AI startup,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani", YourNest Venture Capital,3000000.0,Pre-series B,2020,,Early Traction,5.0
Ninjacart,2015,Bangalore,Food Industry,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.","Ashutosh Vikram, Kartheeswaran K K, Sharath Loganathan, Thiru Nagarajan, Thirukumaran Nagarajan, Vasu Devan", Walmart,30000000.0,,2020,Food & Beverage,Unknown,5.0
Pepper Content,2017,Mumbai,Content marketplace,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,"Anirudh Singla, Rishabh Shekhar", Manan Maheshwari,4200000.0,Series A,2020,,Early Traction,3.0
Acculi Labs,2017,Bangalore,Healthcare,Acculi Labs is a clinical grade smartphone based diagnostic tool,"HariPrasath M., Rupam Das",Startup Basket.,600000.0,Seed,2020,Software & Technology,Validation,3.0
Antaios,2016,France,Tech company,Developer of memory-based technology intended to solve issues of advanced computing.,Jean Pierre Nozieres, Blume Ventures,11000000.0,,2020,,Unknown,4.0
Unnati,2017,Noida,AgriTech,A helping hand to the farming community through Artificial Intelligence,"Amit Sinha, Ashok Prasad",NABVENTURES,1700000.0,Pre-series A,2020,Agriculture,Validation,3.0
Disprz,2015,Chennai,Edtech,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.","Kuljit Chadha, Subramanian Viswanathan", InnoVen Capital,1600000.0,Pre-series B,2020,,Early Traction,5.0
Winuall,2019,Bangalore,Edtech,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.","Ashwini Purohit, MS Chouhan", Akash Gehani,2000000.0,,2020,,Unknown,1.0
Genrobotics,2015,"Trivandrum, Kerala, India",AI startup,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,"Arun George, Nikhil NP, Rashid Bin Abdulla, Vimal Govind MK",Unicorn India Ventures,300000.0,,2020,,Unknown,5.0
Livve,2015,Cochin,Rental space,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,Maya Lakshman,Angel investors,1500000.0,Seed,2020,,Validation,5.0
Krishitantra,2017,Hyderabad,Soil-Tech,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman", Omnivore,1000000.0,Seed,2020,Agriculture,Validation,3.0
PakkaProfile,2019,Bangalore,Recruitment startup,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games","Nagmanjunath Shivakumar, Savio Sebastian",Java Capital,3000000.0,Seed,2020,Software & Technology,Validation,1.0
Pesto,2017,New Delhi,Edtech,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,"Andrew Linfoot, Ayush Jaiswal", Rahul Jaimini,3000000.0,,2020,,Unknown,3.0
NirogStreet,2016,Gurugram,Ayurveda tech,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Ram N Kumar, Subho Ray,2000000.0,Pre-series A,2020,,Validation,4.0
Bambrew,2018,Bangalore,Packaging solution startup,Bambrew is an online shop for reusable bamboo straws.,Vaibhav Anant,Upsparks,3000000.0,Pre-seed,2020,Commerce & Retail,Ideation,2.0
Omnify,2016,"San Francisco Bay Area, Silicon Valley, West Coast",SaaS startup,Omnify is a Global SaaS platform for Small Services Business,"Kabandi Saika, Manik Mehta", LD Sharma,3000000.0,Pre-series A,2020,,Validation,4.0
Treebo Hotels,2015,Bangalore,Hospitality,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.","Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta", Saikiran Krishnamurthy,6000000.0,,2020,Hospitality,Unknown,5.0
Public,2019,New Delhi,Social Media,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,Azhar Iqubal, Tanglin Venture Partners,30000000.0,,2020,Media and Entertainment,Unknown,1.0
Legal Salah,2015,Kolkata,LegalTech,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,CA Abhinit Singh,I2I Capitals,1000000.0,Seed,2020,Business Services,Validation,5.0
FanPlay,2018,New Delhi,Gaming,FanPlay Technologies operates as a real-money gaming startup.,"Bharat Gupta, Pritesh Kumar", Anupam Mittal,3000000.0,Seed,2020,,Validation,2.0
ECOSTP,2017,Bangalore,Sanitation solutions,Eco friendly zero power zero maintenance sewage treatment plant in India.,"Simar Kohli, Tharun Kumar, Praseed KK",Terwilliger Centre,19000000.0,,2020,Health & Life Sciences,Unknown,3.0
Equiwatt,2015,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",Tech company,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,"Johnson Fernandes, Ravneet Kaur",Rising Stars,300000.0,,2020,,Unknown,5.0
AgroWave,2017,Gurugram,AgriTech,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,Anu Meena,Sekhar Puli,500000.0,,2020,Agriculture,Unknown,3.0
Sapio Analytics,2018,Mumbai,Tech company,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,"Ashwin Srivastava, Hardik Somani", Blume Ventures,150000.0,,2020,,Unknown,2.0
Pristyn Care,2018,Gurugram,HealthCare,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,Harsimarbir (Harsh) Singh, Hummingbird Ventures,11000000.0,,2020,Health & Life Sciences,Unknown,2.0
WoodenStreet,2015,Jaipur,Home Design,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,"Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat", Rajasthan Venture Capital Fund,1000000.0,,2020,,Unknown,5.0
ACKO,2016,Mumbai,InsureTech,Acko General Insurance is a private sector general insurance company in India.,"Ruchi Deepak, Varun Dua", Intact Ventures,60000000.0,,2020,,Unknown,4.0
Farmers Fresh Zone,2015,Kochi,AgriTech,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,Pradeep PS, Nagaraja Prakasam,470000.0,,2020,Agriculture,Unknown,5.0
Invento,2016,Bangalore,AI Startup,Invento Robotics specializes in developing service robots intended for customer interactions.,"Balaji Viswanathan, Bharat Kumar, Mahalakshmi Radhakrishnan", Ratish Kumar Nair,3000000.0,,2020,,Unknown,4.0
AnalytIQSports's SuperCric,2019,Bangalore,Entertainment,SuperCric is India's first strategy Cricket Manager simulation game,"Suhail Chandhok, Arvind Sivdas, Dhanya Param", Times Internet,3000000.0,,2020,Media and Entertainment,Unknown,1.0
GenieTalk,2016,Indore,Tech company,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,"Santosh Kataria, Ankit Kimtee, Vivek Jain", Blume Ventures,750000.0,,2020,,Unknown,4.0
Classplus,2018,Noida,EdTech,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi", Surge,10000000.0,,2020,,Unknown,2.0
Mobile Premier League,2018,Bangalore,Entertainment,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,"Sai Srinivas Kiran G, Shubham Malhotra", Times Internet,74000000.0,,2020,Media and Entertainment,Unknown,2.0
Vivriti Capital,2017,Chennai,FinTech,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar", LLC,1000000.0,,2020,,Unknown,3.0
InsuranceDekho,2017,Ludhiana,FinTech,The funding for branding and marketing activities as well as strengthening the product and technology teams,Ankit Agrawal,GirnarSoft,20000000.0,,2020,,Unknown,3.0
BestDoc,2016,Kochi,HealthCare,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,"Afsal Salu, Fayaz Bin Abdu, Soudabi",Venture Catalysts,2100000.0,,2020,Health & Life Sciences,Unknown,4.0
Melorra,2015,Bangalore,Jewellery startup,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,"Krishna Kumar, Saroja Yeramilli", Symphony International Holdings,12500000.0,,2020,Beauty and Fashion,Unknown,5.0
Inflexor Ventures,2020,Mumbai,FinTech,Experienced Venture Capital-General Partner focused on Technology investments.,"Parampara Capital, Venkat Vallabhaneni, Jatin Desai", BEENEXT,10000000.0,,2020,,Unknown,0.0
SpeakIn,2018,Noida,Social Network,"AI-enabled network of speakers and thought leaders, aka. experts",Deepshikha Kumar,Homage Ventures.,3000000.0,,2020,Social and Community,Unknown,2.0
LetsUp,2015,Mumbai,Publication,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",Suhas raikar, Shinhan Capital,3000000.0,,2020,,Unknown,5.0
Newsreach,2018,Gujarat,Publication,NewsReach India offers partner publications a digital footprint,"Darshan Shah, Soniya Kundnani",Mumbai Angels,3000000.0,,2020,,Unknown,2.0
SignalX,2018,Hyderabad,SaaS platform,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",Govind Balachandran, 100X.VC,750000.0,,2020,,Unknown,2.0
Vesta Space Technology,2018,Pune,Tech Startup,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,Arun Kumar Sureban, AIM Smart City,10000000.0,,2020,,Unknown,2.0
Dozee,2015,Bangalore,HealthTech,Dozee offers health and wellness monitoring products.,Gaurav Parchani, Allana Group,1600000.0,,2020,Health & Life Sciences,Unknown,5.0
SucSEED,2016,Hyderabad,Finance,Venture Partners,Vikrant Varshney, Udit Goyal,1300000.0,,2020,Financial Services,Unknown,4.0
Unacademy,2015,Bangalore,EdTech,Unacademy is an Indian online education technology company,"Gaurav Munjal, ?Roman Saini?", Sequoia Capital,150000000.0,,2020,,Unknown,5.0
Strata,2019,Bangalore,Real Estate,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments","Lodha, Priyanka Rathore", SAIF Partners,19067328.0,,2020,Real Estate and Property,Unknown,1.0
3one4 Capital,2016,Bangalore,Venture capital,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,"Pranav Pai, Siddarth Pai",Unknown,100000000.0,,2020,Financial Services,Unknown,4.0
WE-Hub,2018,Hyderabad,Entreprenurship,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,Deepthi Ravula,Unknown,3000000.0,,2020,Business Services,Unknown,2.0
Vicara,2017,Bangalore,Tech Startup,A deep tech startup pioneering in motion-based interfaces and insights.,"Abhishek Satish, Adarsh Warrier", AIM Smart City,3000000.0,,2020,,Unknown,3.0
Odwen,2018,Noida,Warehouse,India's first do-it-yourself warehouse management system.,Vijay Anand Bhagavatula,Prospect Partners.,54000.0,,2020,Commerce & Retail,Unknown,2.0
Fasal,2018,Bangalore,AgriTech,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,"Ananda Prakash Verma, Shailendra Tiwari", Zeroth.AI,20000.0,,2020,Agriculture,Unknown,2.0
Trukky,2015,Ahmedabad,Logistics,"Transportation, logistics services & cargo services.","Saswat Sahu, Rishi Raj",Mumbai Angels.,3000000.0,,2020,Transport,Unknown,5.0
Chai Waale,2018,Chennai,Beverage,Given the rising trend in the number of tea stalls in the city,Vidur Maheswari, Bharat Kumar Sohanraj,238000.0,,2020,Food & Beverage,Unknown,2.0
Deepsync,2018,Bangalore,Tech Startup,"Deepsync is a revolutionary way to record your content, without you really speaking.","Ishan Sharma, Rishikesh Kumar",Venkat Raju,300000.0,,2020,,Unknown,2.0
ConnectedH,2016,Gurgaon,HealthCare,The company’s vision is simple – Connected Healthcare.,"Shubham Gupta, Suresh Singh",Venture Catalysts,3000000.0,,2020,Health & Life Sciences,Unknown,4.0
Pitstop,2015,Bangalore,Car Service,"Pitstop owns and operates a network of garages that provides car repair, detailing",Mihir Mohan Mishra, Ontario Centres of Excellence,1020000.0,,2020,Commerce & Retail,Unknown,5.0
Customfit ai,2019,Bangalore,SaaS startup,Operates on a SaaS model by providing a hyper-personalised website to users.,"Ashwin Kumar, Shoaib Mohammed", 1Crowd,3000000.0,,2020,,Unknown,1.0
Hire Me Car,2015,Noida,TravelTech,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,Anmol Singh Jaggi,US based NRI Investors,3000000.0,Seed,2020,Hospitality,Validation,5.0
Oga Fit,2017,Bangalore,Fitness startup,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Ashish Rawat, Mitesh Shah,3000000.0,Pre-series A,2020,,Validation,3.0
ShipsKart,2018,New Delhi,E-commerce,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.","Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron,200000.0,Pre-series A,2020,Commerce & Retail,Validation,2.0
Financepeer,2017,Mumbai,EdTech,Financepeer is an AI based peer to peer lending platform.,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye", PitchRight Venture,3000000.0,Pre-series A,2020,,Validation,3.0
Etrio,2017,Hyderabad,EV startup,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",Deepak MV,HNIs,3000000.0,Series A,2020,,Early Traction,3.0
Codeyoung,2019,Bangalore,EdTech,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,"Shailendra Dhakad, Rupika Taneja",Guild Capital,3000000.0,Seed,2020,,Validation,1.0
StayQrious,2020,Bangalore,EdTech,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.","Aanand Srinivas, Avinash Anand, Shankar Ram A",Y Combinator,2000000.0,Seed,2020,,Validation,0.0
Infilect,2015,Bangalore,SaaS startup,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,"Anand Prabhu Subramanian, Vijay Gabale", 1Crowd,1500000.0,Pre-series A,2020,,Validation,5.0
MobiGarage,2017,New Delhi,E-commerce,An ecommerce platform for refurbished electronics.,"Vaibhav Kapoor, Pulkit Kapoor", InnoVen Capital,3000000.0,Pre-series A,2020,Commerce & Retail,Validation,3.0
WeInnovate Biosolutions,2016,Pune,Startup laboratory,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,"Dr Milind Choudhari, Dr Prasad Bhagat, and Dr Anupama",Chiratae ventures,3000000.0,Seed,2020,,Validation,4.0
Yummy Corp,2017,"Tangerang, Jawa Barat, Indonesia",Food Industry,"Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.",Mario Suntanu, Amatil X Ventures,12000000.0,Series B,2020,Food & Beverage,Scaling,3.0
Smallcase,2015,Bangalore,FinTech,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath", Blume Ventures,13400000.0,Series B,2020,,Scaling,5.0
Zuper,2016,Seattle,SaaS startup,Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.,Vijay Narasiman, Gunderson Dettmer,1100000.0,Seed,2020,,Validation,4.0
mCaffeine,2015,Mumbai,Personal care startup,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","Tarun Sharma, Vikas Lachhwani", Amicus Capital,2900000.0,Series B,2020,,Scaling,5.0
GullyBuy Software,2019,Pune,Tech Startup,To deliver a solution that will provide shopping convenience to every consumer in India,Shirish Deodhar, AIM Smart City,543000.0,Pre-series A,2020,,Validation,1.0
Recordent,2019,Hyderabad,FinTech,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,Harish Mamtani, BEENEXT,3000000.0,Seed,2020,,Validation,1.0
MPL,2018,Bangalore,Entertainment,Mobile Premier League is the mobile e-Sports platform based in India.,"Shubham Malhotra, Sai Srinivas", GO Ventures,90000000.0,Series C,2020,Media and Entertainment,Scaling,2.0
Penny,2020,Riyadh,SaaS startup,Offer various development solutions and mainly focus on helping startups,"Iyad Aldalooj, Majid Aldalooj, Mohammed Ibrahim", 1Crowd,1300000.0,Seed,2020,,Validation,0.0
Precily,2017,California,SaaS  startup,Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions.,Bharath Rao, Anil Advani,3000000.0,Seed,2020,,Validation,3.0
SmartClean,2017,Singapore,Tech Startup,SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.,"Abhishek Mishra, Kush Agarwal, Lav Agarwal, Stella Hu", AIM Smart City,3400000.0,Pre- series A,2020,,Validation,3.0
Servify,2015,Mumbai,Service industry,Servify is a self-learning platform that provides device management services and warranty solutions.,Sreevathsa Prabhakar, Tetrao,23000000.0,Series C,2020,,Scaling,5.0
ShareChat,2015,Bangalore,Social media,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Bhanu Singh, Farid Ahsan", saif partners,40000000.0,Pre-series C,2020,,Early Traction,5.0
Rephrase.ai,2018,Bangalore,AI,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,"Ashray Malhotra, Nisheeth Lahoti, Shivam Mangla", Techstars,1500000.0,Seed,2020,,Validation,2.0
Melorra,2015,Bangalore,Jewellery,"Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace","Saroja Yeramilli, R Krishnakumar", Lightbox,8090000.0,Debt,2020,Beauty and Fashion,Unknown,5.0
EkAnek,2018,New Delhi,Tech Startup,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,"Chandranshu Sinha, Kartik Sheth", Sequoia Capital India,5040000.0,Edge,2020,,Unknown,2.0
Cub McPaws,2018,Mumbai,AR startup,Cub McPaws is a kids clothing brand.,"Shah, Abhay Bhat",Venture Catalysts,800000.0,Pre-series A,2020,,Validation,2.0
Zimyo,2018,Gurgaon,HR Tech startup,Employee experience platform that empowers organizations to manage and retain great talent!,"Ajay Kadyan, Kumar Mayank", Chiranth Patil,1500000.0,Seed,2020,,Validation,2.0
PumPumPum,2018,Gurgaon,Automotive Startup,Pumpumpum is a car rental company,"Tarun Lawadia, Sameer Kalra",Unknown,360000.0,Debt,2020,Transport,Unknown,2.0
Burgerama,2018,Gurgaon,Food Startup,Burgerama is a unit of Junket Foods Private Limited,Kabir Bose, Anicut,3000000.0,Pre-series A,2020,Food & Beverage,Validation,2.0
Moms Co,2016,Gurgaon,HealthCare,The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free,"Malika Datt Sadani, Mohit Sadaani", Saama Capital,8000000.0,Series B,2020,Health & Life Sciences,Scaling,4.0
DillyHub,2018,Seoul,Publication,A service that promotes and facilitates the works of independent comic artists,Ji Cheol Ryu, Shinhan Capital,1400000.0,Seed,2020,,Validation,2.0
FPL Technologies,2019,Pune,FinTech,FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card,"Anurag Sinha, Rupesh Kumar, Vibhav Hathi", Hummingbird Ventures,10000000.0,Series A,2020,,Early Traction,1.0
FITTR,2016,Pune,Fitness startup,Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.,"Jitendra Chouksey, Sonal Singh, Jyoti Dabas, Bala Krishna Reddy, Rohit Chattopadhyay.",Surge,2000000.0,Pre-series A,2020,,Validation,4.0
Illumnus,2018,Pune,EdTech Startup,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities","Akash Deep Singhal, Akshaya Singhal, Devashish Saxena, Gauri Dehnkar",23 High Networth Individuals (HNIs).,100000.0,Seed,2020,,Validation,2.0
Newton School,2019,Bangalore,EdTech Startup,Newton School is a platform to learn and develop skills,"Nishant Chandra, Siddharth Maheshwari",Nexus Venture Partners,650000.0,Seed,2020,,Validation,1.0
Airmeet,2019,Bangalore,Tech Startup,"Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge","Lalit Mangal, Manoj Singh, Vinay Kumar Jasti", Redpoint,12000000.0,Series A,2020,,Early Traction,1.0
Observe ai,2017,San Francisco,Tech,"Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.","Akash Singh, Sharath Keshava Narayana, Swapnil Jain", Steadview Capital,54000000.0,Series B,2020,,Scaling,3.0
InCred,2016,Mumbai,Finance,"Provide loans for all your needs like personal loan for wedding, education loan, business loan",Bhupinder Singh, Fiscal,5000000.0,Debt,2020,Financial Services,Unknown,4.0
Servify,2015,Mumbai,Manufacturing,"Enables top OEMs & ODMs in device distribution, sales, warranty",Sreevathsa Prabhakar, Tetrao,11370000.0,Series C,2020,Manufacturing,Scaling,5.0
Lido Learning,2019,Mumbai,EdTech,"Online classes for Std 4-9 in Math, Science, Coding, English & Leadership with top 1% tutors ?",Sahil Sheth, Madhur Deora,7500000.0,Series B,2020,,Scaling,1.0
Apna.co,2019,Bangalore,Job portal,Can find all types of jobs from entry level to experienced people in over 60+ categories.,Nirmit Parikh, Sequoia Capital India,8000000.0,Series A,2020,Business Services,Early Traction,1.0
Entropik,2016,Bangalore,AI Platform,Gain insights into human emotions with AI-powered platform affect lab.,Ranjan Kumar, Bharat Innovation Fund,8000000.0,Series A,2020,,Early Traction,4.0
Ultraviolette Automotive,2015,Bangalore,Automation,Industries Automotive Electric Vehicle Energy Energy Storage,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company,410000.0,Series B,2020,Manufacturing,Scaling,5.0
WinZO,2016,New Delhi,Gaming,WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India.,"Paavan Nanda, Saumya Singh Rathore", Courtside Ventures,18000000.0,Series B,2020,,Scaling,4.0
SenseHawk,2016,Bangalore,Solar SaaS,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,"Swarup Mavanoor, Rahul Sankhe", SAIF Partners,5000000.0,Series A,2020,Energy & Renewable Resources,Early Traction,4.0
